RIC,Date,Name,ISIN Code,TRBC Industry Group Name
VIE.PA,2020-12-31,VEOLIA ENVIRONNEMENT VE ORD,FR0000124141,Multiline Utilities
VRLA.PA,2020-12-31,VERALLIA SASU ORD,FR0013447729,Containers & Packaging
OREP.PA,2020-12-31,L OREAL S.A.,FR0000120321,Personal & Household Products & Services
FDJU.PA,2020-12-31,LA FRANCAISE DES JEUX SA ORD,FR0013451333,Hotels & Entertainment Services
NEOEN.PA^D25,2020-12-31,NEOEN SA ORD,FR0011675362,Electric Utilities & IPPs
ALSO.PA,2020-12-31,ALSTOM SA ORD,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
PERP.PA,2020-12-31,PERNOD-RICARD ORD,FR0000120693,Beverages
OPM.PA,2020-12-31,PLASTIC OMNIUM ORD,FR0000124570,Automobiles & Auto Parts
LAGA.PA,2020-12-31,LAGARDERE SCA ORD,FR0000130213,Media & Publishing
EURA.PA,2020-12-31,EURAZEO ORD,FR0000121121,Investment Banking & Investment Services
STMPA.PA,2020-12-31,STMICROELECTRONICS ORD,NL0000226223,Semiconductors & Semiconductor Equipment
WLN.PA,2020-12-31,WORLDLINE SA,FR0011981968,Financial Technology (Fintech) & Infrastructure
TCFP.PA,2020-12-31,THALES ORD,FR0000121329,Aerospace & Defense
FTI.PA^B22,2020-12-31,TECHNIPFMC LTD ORD,GB00BDSFG982,Oil & Gas Related Equipment and Services
VIRI.PA,2020-12-31,CGG,FR001400PVN6,Oil & Gas Related Equipment and Services
AKE.PA,2020-12-31,ARKEMA ORD,FR0010313833,Chemicals
CAPP.PA,2020-12-31,CAPGEMINI ORD,FR0000125338,Software & IT Services
TRIA.PA,2021-12-31,TRIGANO ORD,FR0005691656,Leisure Products
CVO.PA,2021-12-31,COVIVIO SA ORD,FR0000064578,Residential & Commercial REITs
RXL.PA,2021-12-31,REXEL ORD,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
EMEIS.PA,2021-12-31,ORPEA ORD,FR001400NLM4,Healthcare Providers & Services
SEVI.PA^B22,2021-12-31,SUEZ ORD,FR0010613471,Professional & Commercial Services
SGEF.PA,2021-12-31,VINCI ORD,FR0000125486,Construction & Engineering
NEXS.PA,2021-12-31,NEXANS PARIS ORD,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
LTEN.PA,2021-12-31,ALTEN ORD,FR0000071946,Software & IT Services
VIV.PA,2021-12-31,VIVENDI ORD,FR0000127771,Media & Publishing
IPN.PA,2021-12-31,IPSEN PROMESSES ORD,FR0010259150,Pharmaceuticals
SOIT.PA,2021-12-31,SOITEC SA ORD,FR0013227113,Semiconductors & Semiconductor Equipment
STLAM.PA,2021-12-31,STELLANTIS NV ORD,NL00150001Q9,Automobiles & Auto Parts
STDM.PA,2021-12-31,STEDIM ORD,FR0013154002,Healthcare Equipment & Supplies
BOLL.PA,2021-12-31,BOLLORE ORD,FR0000039299,Media & Publishing
EDEN.PA,2021-12-31,EDENRED ORD,FR0010908533,Professional & Commercial Services
BNPP.PA,2021-12-31,BNP PARIBAS ORD,FR0000131104,Banking Services
HRMS.PA,2021-12-31,HERMES INTL ORD,FR0000052292,Textiles & Apparel
COFA.PA,2021-12-31,COFACE PROMESSES ORD,FR0010667147,Insurance
DANO.PA,2021-12-31,GROUPE DANONE ORD,FR0000120644,Food & Tobacco
URW.PA,2021-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD,FR0013326246,Residential & Commercial REITs
VLS.PA,2021-12-31,VALNEVA,FR0004056851,Biotechnology & Medical Research
PRTP.PA,2021-12-31,KERING SA,FR0000121485,Specialty Retailers
AYV.PA,2021-12-31,ALD INTERNATIONAL SA ORD,FR0013258662,Freight & Logistics Services
BICP.PA,2021-12-31,SOCIETE BIC ORD,FR0000120966,Professional & Commercial Services
ATOS.PA,2021-12-31,ATOS SE ORD,FR001400X2S4,Software & IT Services
ABIO.PA^J22,2021-12-31,ALBIOMA,FR0000060402,Electric Utilities & IPPs
ELIOR.PA,2021-12-31,ELIOR GROUP ORD,FR0011950732,Hotels & Entertainment Services
ALMCP.PA,2021-12-31,MCPHY ENERGY ORD,FR0011742329,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
FNAC.PA,2021-12-31,FNAC DARTY ORD,FR0011476928,Specialty Retailers
MICP.PA,2021-12-31,MICHELIN ORD,FR001400AJ45,Automobiles & Auto Parts
SAF.PA,2021-12-31,SAFRAN ORD,FR0000073272,Aerospace & Defense
RCOP.PA,2021-12-31,REMY COINTREAU ORD,FR0000130395,Beverages
DAST.PA,2021-12-31,DASSAULT SYSTEMES ORD,FR0014003TT8,Software & IT Services
ACCP.PA,2021-12-31,ACCOR SA ORD,FR0000120404,Hotels & Entertainment Services
OVH.PA,2021-12-31,OVH GROUPE SAS ORD,FR0014005HJ9,Software & IT Services
MWDP.PA,2021-12-31,WENDEL ORD,FR0000121204,Investment Holding Companies
ORAN.PA,2021-12-31,ORANGE ORD,FR0000133308,Telecommunications Services
EUFI.PA,2021-12-31,EUROFINS SCIENTIFIC ORD,FR0014000MR3,Biotechnology & Medical Research
EXHO.PA,2021-12-31,SODEXO ORD,FR0000121220,Hotels & Entertainment Services
ENX.PA,2021-12-31,EURONEXT,NL0006294274,Investment Banking & Investment Services
BVI.PA,2021-12-31,BUREAU VERITAS REGISTRE INTL ORD,FR0006174348,Professional & Commercial Services
AIRF.PA,2021-12-31,AIR FRANCE-KLM ORD,FR001400J770,Passenger Transportation Services
AIRP.PA,2021-12-31,AIR LIQUIDE ORD,FR0000120073,Chemicals
SASY.PA,2021-12-31,SANOFI SA ORD,FR0000120578,Pharmaceuticals
TFFP.PA,2021-12-31,TF1 ORD,FR0000054900,Media & Publishing
ESLX.PA,2021-12-31,ESSILORLUXOTTICA ORD,FR0000121667,Healthcare Equipment & Supplies
AM.PA,2021-12-31,DASSAULT AVIATI ORD,FR0014004L86,Aerospace & Defense
AMUN.PA,2021-12-31,AMUNDI ORD,FR0004125920,Investment Banking & Investment Services
AIR.PA,2021-12-31,AIRBUS SE,NL0000235190,Aerospace & Defense
AXAF.PA,2021-12-31,AXA ORD,FR0000120628,Insurance
GFCP.PA,2021-12-31,GECINA REIT,FR0010040865,Residential & Commercial REITs
MT.AS,2021-12-31,ARCELORMITTAL ORD,LU1598757687,Metals & Mining
ENGIE.PA,2021-12-31,ENGIE ORD,FR0010208488,Multiline Utilities
DBG.PA,2021-12-31,DERICHEBOURG ORD,FR0000053381,Professional & Commercial Services
BOUY.PA,2021-12-31,BOUYGUES ORD,FR0000120503,Construction & Engineering
VLLP.PA,2021-12-31,VALLOUREC ORD,FR0013506730,Oil & Gas Related Equipment and Services
UBIP.PA,2021-12-31,UBISOFT ORD,FR0000054470,Software & IT Services
EDF.PA^F23,2021-12-31,ELECTRICITE DE FRANCE SA,FR0010242511,Multiline Utilities
SEBF.PA,2021-12-31,SEB ORD,FR0000121709,Household Goods
MERY.PA,2021-12-31,MERCIALYS REIT,FR0010241638,Residential & Commercial REITs
CASP.PA,2021-12-31,CASINO ORD,FR001400OKR3,Food & Drug Retailing
SPIE.PA,2021-12-31,SPIE PROMESSES ORD SHS,FR0012757854,Construction & Engineering
GTT.PA,2021-12-31,GTT PROMESSES ORD,FR0011726835,Oil & Gas Related Equipment and Services
FOUG.PA,2021-12-31,EIFFAGE ORD,FR0000130452,Construction & Engineering
VLOF.PA,2021-12-31,VALEO ORD,FR0013176526,Automobiles & Auto Parts
ICAD.PA,2021-12-31,ICADE REIT,FR0000035081,Residential & Commercial REITs
SESFd.PA,2021-12-31,SES SA GDR,LU0088087324,Telecommunications Services
ERMT.PA,2021-12-31,ERAMET ORD,FR0000131757,Metals & Mining
MMTP.PA,2021-12-31,METROPOLE TV ORD,FR0000053225,Media & Publishing
LVMH.PA,2021-12-31,LVMH MOET HENNESSY LOUIS VUITT,FR0000121014,Textiles & Apparel
SCHN.PA,2021-12-31,SCHNEIDER ELECTRIC SE,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
ISOS.PA,2021-12-31,IPSOS ORD,FR0000073298,Media & Publishing
CAGR.PA,2021-12-31,CREDIT AGRICOLE ORD,FR0000045072,Banking Services
SOGN.PA,2021-12-31,SOCIETE GENERALE ORD,FR0000130809,Banking Services
BIOX.PA,2021-12-31,BIOMERIEUX ORD,FR0013280286,Healthcare Equipment & Supplies
NEXI.PA,2021-12-31,NEXITY ORD,FR0010112524,Real Estate Operations
LEGD.PA,2021-12-31,LEGRAND ORD,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
SGOB.PA,2021-12-31,SAINT-GOBAIN ORD,FR0000125007,Homebuilding & Construction Supplies
ELIS.PA,2021-12-31,ELIS ORD SHS,FR0012435121,Professional & Commercial Services
FRVIA.PA,2021-12-31,FAURECIA SA ORD,FR0000121147,Automobiles & Auto Parts
IMTP.PA,2021-12-31,IMERYS ORD,FR0000120859,Metals & Mining
SOPR.PA,2021-12-31,SOPRA STERIA GROUP,FR0000050809,Software & IT Services
S30.PA,2021-12-31,SOLUTIONS 30 SE,FR0013379484,Software & IT Services
CARR.PA,2021-12-31,CARREFOUR ORD,FR0000120172,Food & Drug Retailing
TTEF.PA,2021-12-31,TOTALENERGIES SE ORD,FR0000120271,Oil & Gas
GETP.PA,2021-12-31,GETLINK ORD,FR0010533075,Transport Infrastructure
RUBF.PA,2021-12-31,RUBIS ORD,FR0013269123,Oil & Gas
JCDX.PA,2021-12-31,JCDECAUX ORD,FR0000077919,Media & Publishing
ETL.PA,2021-12-31,EUTELSAT COMMUNICATIONS ORD,FR0010221234,Telecommunications Services
RENA.PA,2021-12-31,RENAULT PAR,FR0000131906,Automobiles & Auto Parts
PUBP.PA,2021-12-31,PUBLICIS GROUPE ORD,FR0000130577,Media & Publishing
CLARI.PA,2021-12-31,KORIAN ORD,FR0010386334,Healthcare Providers & Services
MDM.PA,2021-12-31,MAISONS DU MONDE SA WI ORD,FR0013153541,Specialty Retailers
LOIM.PA,2021-12-31,KLEPIERRE REIT,FR0000121964,Residential & Commercial REITs
ADP.PA,2021-12-31,AEROPORTS DE PARIS ORD,FR0010340141,Transport Infrastructure
TE.PA,2021-12-31,TECHNIP ENERGIES BV ORD,NL0014559478,Oil & Gas Related Equipment and Services
SCOR.PA,2021-12-31,SCOR SE ORD,FR0010411983,Insurance
CNPP.PA^F22,2021-12-31,CNP ASSURANCES ORD,FR0000120222,Insurance
VIRB.PA,2021-12-31,STE VIRBAC SA,FR0000031577,Pharmaceuticals
TEPRF.PA,2021-12-31,TELEPERFORMANCE ORD,FR0000051807,Professional & Commercial Services
VIE.PA,2021-12-31,VEOLIA ENVIRONNEMENT VE ORD,FR0000124141,Multiline Utilities
VRLA.PA,2021-12-31,VERALLIA SASU ORD,FR0013447729,Containers & Packaging
OREP.PA,2021-12-31,L OREAL S.A.,FR0000120321,Personal & Household Products & Services
FDJU.PA,2021-12-31,LA FRANCAISE DES JEUX SA ORD,FR0013451333,Hotels & Entertainment Services
NEOEN.PA^D25,2021-12-31,NEOEN SA ORD,FR0011675362,Electric Utilities & IPPs
ALSO.PA,2021-12-31,ALSTOM SA ORD,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
PERP.PA,2021-12-31,PERNOD-RICARD ORD,FR0000120693,Beverages
OPM.PA,2021-12-31,PLASTIC OMNIUM ORD,FR0000124570,Automobiles & Auto Parts
LAGA.PA,2021-12-31,LAGARDERE SCA ORD,FR0000130213,Media & Publishing
EURA.PA,2021-12-31,EURAZEO ORD,FR0000121121,Investment Banking & Investment Services
STMPA.PA,2021-12-31,STMICROELECTRONICS ORD,NL0000226223,Semiconductors & Semiconductor Equipment
WLN.PA,2021-12-31,WORLDLINE SA,FR0011981968,Financial Technology (Fintech) & Infrastructure
TCFP.PA,2021-12-31,THALES ORD,FR0000121329,Aerospace & Defense
FTI.PA^B22,2021-12-31,TECHNIPFMC PLC ORD,GB00BDSFG982,Oil & Gas Related Equipment and Services
VIRI.PA,2021-12-31,CGG,FR001400PVN6,Oil & Gas Related Equipment and Services
EUCAR.PA^G22,2021-12-31,EUROPCAR MOBILITY GROUP SA ORD,FR0012789949,Passenger Transportation Services
AKE.PA,2021-12-31,ARKEMA ORD,FR0010313833,Chemicals
CAPP.PA,2021-12-31,CAPGEMINI ORD,FR0000125338,Software & IT Services
TRIA.PA,2022-12-31,TRIGANO ORD,FR0005691656,Leisure Products
CVO.PA,2022-12-31,COVIVIO SA ORD,FR0000064578,Residential & Commercial REITs
RXL.PA,2022-12-31,REXEL ORD,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
EMEIS.PA,2022-12-31,ORPEA ORD,FR001400NLM4,Healthcare Providers & Services
SGEF.PA,2022-12-31,VINCI ORD,FR0000125486,Construction & Engineering
NEXS.PA,2022-12-31,NEXANS PARIS ORD,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
LTEN.PA,2022-12-31,ALTEN ORD,FR0000071946,Software & IT Services
VIV.PA,2022-12-31,VIVENDI ORD,FR0000127771,Media & Publishing
IPN.PA,2022-12-31,IPSEN PROMESSES ORD,FR0010259150,Pharmaceuticals
SOIT.PA,2022-12-31,SOITEC SA ORD,FR0013227113,Semiconductors & Semiconductor Equipment
STLAM.PA,2022-12-31,STELLANTIS NV ORD,NL00150001Q9,Automobiles & Auto Parts
STDM.PA,2022-12-31,STEDIM ORD,FR0013154002,Healthcare Equipment & Supplies
BOLL.PA,2022-12-31,BOLLORE ORD,FR0000039299,Media & Publishing
EDEN.PA,2022-12-31,EDENRED ORD,FR0010908533,Professional & Commercial Services
BNPP.PA,2022-12-31,BNP PARIBAS ORD,FR0000131104,Banking Services
IMAF.PA,2022-12-31,ALTAREA ORD,FR0000033219,Residential & Commercial REITs
HRMS.PA,2022-12-31,HERMES INTL ORD,FR0000052292,Textiles & Apparel
COFA.PA,2022-12-31,COFACE PROMESSES ORD,FR0010667147,Insurance
DANO.PA,2022-12-31,GROUPE DANONE ORD,FR0000120644,Food & Tobacco
URW.PA,2022-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD,FR0013326246,Residential & Commercial REITs
VLS.PA,2022-12-31,VALNEVA,FR0004056851,Biotechnology & Medical Research
PRTP.PA,2022-12-31,KERING SA,FR0000121485,Specialty Retailers
AYV.PA,2022-12-31,ALD INTERNATIONAL SA ORD,FR0013258662,Freight & Logistics Services
BICP.PA,2022-12-31,SOCIETE BIC ORD,FR0000120966,Professional & Commercial Services
ATOS.PA,2022-12-31,ATOS SE ORD,FR001400X2S4,Software & IT Services
ELIOR.PA,2022-12-31,ELIOR GROUP ORD,FR0011950732,Hotels & Entertainment Services
ALMCP.PA,2022-12-31,MCPHY ENERGY ORD,FR0011742329,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
FNAC.PA,2022-12-31,FNAC DARTY ORD,FR0011476928,Specialty Retailers
MICP.PA,2022-12-31,MICHELIN ORD,FR001400AJ45,Automobiles & Auto Parts
SAF.PA,2022-12-31,SAFRAN ORD,FR0000073272,Aerospace & Defense
RCOP.PA,2022-12-31,REMY COINTREAU ORD,FR0000130395,Beverages
DAST.PA,2022-12-31,DASSAULT SYSTEMES ORD,FR0014003TT8,Software & IT Services
ACCP.PA,2022-12-31,ACCOR SA ORD,FR0000120404,Hotels & Entertainment Services
ANTIN.PA,2022-12-31,ANTIN INFRASTRUCTURE PARTNERS SAS ORD,FR0014005AL0,Investment Banking & Investment Services
OVH.PA,2022-12-31,OVH GROUPE SAS ORD,FR0014005HJ9,Software & IT Services
MWDP.PA,2022-12-31,WENDEL ORD,FR0000121204,Investment Holding Companies
ORAN.PA,2022-12-31,ORANGE ORD,FR0000133308,Telecommunications Services
EUFI.PA,2022-12-31,EUROFINS SCIENTIFIC ORD,FR0014000MR3,Biotechnology & Medical Research
EXHO.PA,2022-12-31,SODEXO ORD,FR0000121220,Hotels & Entertainment Services
ENX.PA,2022-12-31,EURONEXT,NL0006294274,Investment Banking & Investment Services
BVI.PA,2022-12-31,BUREAU VERITAS REGISTRE INTL ORD,FR0006174348,Professional & Commercial Services
AIRF.PA,2022-12-31,AIR FRANCE-KLM ORD,FR001400J770,Passenger Transportation Services
AIRP.PA,2022-12-31,AIR LIQUIDE ORD,FR0000120073,Chemicals
SASY.PA,2022-12-31,SANOFI SA ORD,FR0000120578,Pharmaceuticals
TFFP.PA,2022-12-31,TF1 ORD,FR0000054900,Media & Publishing
CARM.PA,2022-12-31,CARMILA ORD,FR0010828137,Residential & Commercial REITs
ESLX.PA,2022-12-31,ESSILORLUXOTTICA ORD,FR0000121667,Healthcare Equipment & Supplies
AM.PA,2022-12-31,DASSAULT AVIATI ORD,FR0014004L86,Aerospace & Defense
AMUN.PA,2022-12-31,AMUNDI ORD,FR0004125920,Investment Banking & Investment Services
AIR.PA,2022-12-31,AIRBUS SE,NL0000235190,Aerospace & Defense
AXAF.PA,2022-12-31,AXA ORD,FR0000120628,Insurance
GFCP.PA,2022-12-31,GECINA REIT,FR0010040865,Residential & Commercial REITs
MT.AS,2022-12-31,ARCELORMITTAL ORD,LU1598757687,Metals & Mining
ENGIE.PA,2022-12-31,ENGIE ORD,FR0010208488,Multiline Utilities
VU.PA,2022-12-31,SES IMAGOTAG ORD,FR0010282822,Electronic Equipment & Parts
DBG.PA,2022-12-31,DERICHEBOURG ORD,FR0000053381,Professional & Commercial Services
BOUY.PA,2022-12-31,BOUYGUES ORD,FR0000120503,Construction & Engineering
VLLP.PA,2022-12-31,VALLOUREC ORD,FR0013506730,Oil & Gas Related Equipment and Services
UBIP.PA,2022-12-31,UBISOFT ORD,FR0000054470,Software & IT Services
EDF.PA^F23,2022-12-31,ELECTRICITE DE FRANCE SA,FR0010242511,Multiline Utilities
SEBF.PA,2022-12-31,SEB ORD,FR0000121709,Household Goods
MERY.PA,2022-12-31,MERCIALYS REIT,FR0010241638,Residential & Commercial REITs
CASP.PA,2022-12-31,CASINO ORD,FR001400OKR3,Food & Drug Retailing
SPIE.PA,2022-12-31,SPIE PROMESSES ORD SHS,FR0012757854,Construction & Engineering
GTT.PA,2022-12-31,GTT PROMESSES ORD,FR0011726835,Oil & Gas Related Equipment and Services
FOUG.PA,2022-12-31,EIFFAGE ORD,FR0000130452,Construction & Engineering
VLOF.PA,2022-12-31,VALEO ORD,FR0013176526,Automobiles & Auto Parts
ICAD.PA,2022-12-31,ICADE REIT,FR0000035081,Residential & Commercial REITs
SESFd.PA,2022-12-31,SES SA GDR,LU0088087324,Telecommunications Services
ERMT.PA,2022-12-31,ERAMET ORD,FR0000131757,Metals & Mining
MMTP.PA,2022-12-31,METROPOLE TV ORD,FR0000053225,Media & Publishing
LVMH.PA,2022-12-31,LVMH MOET HENNESSY LOUIS VUITT,FR0000121014,Textiles & Apparel
SCHN.PA,2022-12-31,SCHNEIDER ELECTRIC SE,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
ISOS.PA,2022-12-31,IPSOS ORD,FR0000073298,Media & Publishing
CAGR.PA,2022-12-31,CREDIT AGRICOLE ORD,FR0000045072,Banking Services
SOGN.PA,2022-12-31,SOCIETE GENERALE ORD,FR0000130809,Banking Services
BIOX.PA,2022-12-31,BIOMERIEUX ORD,FR0013280286,Healthcare Equipment & Supplies
NEXI.PA,2022-12-31,NEXITY ORD,FR0010112524,Real Estate Operations
LEGD.PA,2022-12-31,LEGRAND ORD,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
SGOB.PA,2022-12-31,SAINT-GOBAIN ORD,FR0000125007,Homebuilding & Construction Supplies
ELIS.PA,2022-12-31,ELIS ORD SHS,FR0012435121,Professional & Commercial Services
FRVIA.PA,2022-12-31,FAURECIA SA ORD,FR0000121147,Automobiles & Auto Parts
IMTP.PA,2022-12-31,IMERYS ORD,FR0000120859,Metals & Mining
SOPR.PA,2022-12-31,SOPRA STERIA GROUP,FR0000050809,Software & IT Services
S30.PA,2022-12-31,SOLUTIONS 30 SE,FR0013379484,Software & IT Services
CARR.PA,2022-12-31,CARREFOUR ORD,FR0000120172,Food & Drug Retailing
TTEF.PA,2022-12-31,TOTALENERGIES SE ORD,FR0000120271,Oil & Gas
GETP.PA,2022-12-31,GETLINK ORD,FR0010533075,Transport Infrastructure
RUBF.PA,2022-12-31,RUBIS ORD,FR0013269123,Oil & Gas
JCDX.PA,2022-12-31,JCDECAUX SE ORD,FR0000077919,Media & Publishing
ETL.PA,2022-12-31,EUTELSAT COMMUNICATIONS ORD,FR0010221234,Telecommunications Services
RENA.PA,2022-12-31,RENAULT PAR,FR0000131906,Automobiles & Auto Parts
PUBP.PA,2022-12-31,PUBLICIS GROUPE ORD,FR0000130577,Media & Publishing
CLARI.PA,2022-12-31,KORIAN ORD,FR0010386334,Healthcare Providers & Services
LOIM.PA,2022-12-31,KLEPIERRE REIT,FR0000121964,Residential & Commercial REITs
ADP.PA,2022-12-31,AEROPORTS DE PARIS ORD,FR0010340141,Transport Infrastructure
TE.PA,2022-12-31,TECHNIP ENERGIES BV ORD,NL0014559478,Oil & Gas Related Equipment and Services
IPAR.PA,2022-12-31,INTERPARFUMS ORD,FR0004024222,Personal & Household Products & Services
SCOR.PA,2022-12-31,SCOR SE ORD,FR0010411983,Insurance
DAMA.PA^B23,2022-12-31,SOMFY SA ORD,FR0013199916,Homebuilding & Construction Supplies
VIRB.PA,2022-12-31,STE VIRBAC SA,FR0000031577,Pharmaceuticals
TEPRF.PA,2022-12-31,TELEPERFORMANCE ORD,FR0000051807,Professional & Commercial Services
VIE.PA,2022-12-31,VEOLIA ENVIRONNEMENT VE ORD,FR0000124141,Multiline Utilities
VRLA.PA,2022-12-31,VERALLIA SASU ORD,FR0013447729,Containers & Packaging
OREP.PA,2022-12-31,L OREAL S.A.,FR0000120321,Personal & Household Products & Services
FDJU.PA,2022-12-31,LA FRANCAISE DES JEUX SA ORD,FR0013451333,Hotels & Entertainment Services
NEOEN.PA^D25,2022-12-31,NEOEN SA ORD,FR0011675362,Electric Utilities & IPPs
ALSO.PA,2022-12-31,ALSTOM SA ORD,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
PERP.PA,2022-12-31,PERNOD-RICARD ORD,FR0000120693,Beverages
OPM.PA,2022-12-31,PLASTIC OMNIUM ORD,FR0000124570,Automobiles & Auto Parts
EURA.PA,2022-12-31,EURAZEO ORD,FR0000121121,Investment Banking & Investment Services
STMPA.PA,2022-12-31,STMICROELECTRONICS ORD,NL0000226223,Semiconductors & Semiconductor Equipment
WLN.PA,2022-12-31,WORLDLINE SA,FR0011981968,Financial Technology (Fintech) & Infrastructure
TCFP.PA,2022-12-31,THALES ORD,FR0000121329,Aerospace & Defense
VIRI.PA,2022-12-31,CGG,FR001400PVN6,Oil & Gas Related Equipment and Services
EAPI.PA,2022-12-31,EUROAPI SA ORD,FR0014008VX5,Pharmaceuticals
AKE.PA,2022-12-31,ARKEMA ORD,FR0010313833,Chemicals
CAPP.PA,2022-12-31,CAPGEMINI ORD,FR0000125338,Software & IT Services
TRIA.PA,2023-12-31,TRIGANO ORD,FR0005691656,Leisure Products
CVO.PA,2023-12-31,COVIVIO SA ORD,FR0000064578,Residential & Commercial REITs
RXL.PA,2023-12-31,REXEL ORD,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
CBLP.PA,2023-12-31,MERSEN ORD,FR0000039620,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
EMEIS.PA,2023-12-31,ORPEA ORD,FR001400NLM4,Healthcare Providers & Services
SGEF.PA,2023-12-31,VINCI ORD,FR0000125486,Construction & Engineering
URW.PA,2023-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD,FR0013326246,Residential & Commercial REITs
NEXS.PA,2023-12-31,NEXANS PARIS ORD,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
LTEN.PA,2023-12-31,ALTEN ORD,FR0000071946,Software & IT Services
VIV.PA,2023-12-31,VIVENDI ORD,FR0000127771,Media & Publishing
IPN.PA,2023-12-31,IPSEN PROMESSES ORD,FR0010259150,Pharmaceuticals
SOIT.PA,2023-12-31,SOITEC SA ORD,FR0013227113,Semiconductors & Semiconductor Equipment
STLAM.PA,2023-12-31,STELLANTIS NV ORD,NL00150001Q9,Automobiles & Auto Parts
STDM.PA,2023-12-31,STEDIM ORD,FR0013154002,Healthcare Equipment & Supplies
BOLL.PA,2023-12-31,BOLLORE ORD,FR0000039299,Media & Publishing
EDEN.PA,2023-12-31,EDENRED ORD,FR0010908533,Professional & Commercial Services
BNPP.PA,2023-12-31,BNP PARIBAS ORD,FR0000131104,Banking Services
HRMS.PA,2023-12-31,HERMES INTL ORD,FR0000052292,Textiles & Apparel
COFA.PA,2023-12-31,COFACE PROMESSES ORD,FR0010667147,Insurance
DANO.PA,2023-12-31,GROUPE DANONE ORD,FR0000120644,Food & Tobacco
VLS.PA,2023-12-31,VALNEVA,FR0004056851,Biotechnology & Medical Research
PRTP.PA,2023-12-31,KERING SA,FR0000121485,Specialty Retailers
AYV.PA,2023-12-31,ALD INTERNATIONAL SA ORD,FR0013258662,Freight & Logistics Services
BICP.PA,2023-12-31,SOCIETE BIC ORD,FR0000120966,Professional & Commercial Services
ATOS.PA,2023-12-31,ATOS SE ORD,FR001400X2S4,Software & IT Services
ELIOR.PA,2023-12-31,ELIOR GROUP ORD,FR0011950732,Hotels & Entertainment Services
FNAC.PA,2023-12-31,FNAC DARTY ORD,FR0011476928,Specialty Retailers
MICP.PA,2023-12-31,MICHELIN ORD,FR001400AJ45,Automobiles & Auto Parts
SAF.PA,2023-12-31,SAFRAN ORD,FR0000073272,Aerospace & Defense
RCOP.PA,2023-12-31,REMY COINTREAU ORD,FR0000130395,Beverages
DAST.PA,2023-12-31,DASSAULT SYSTEMES ORD,FR0014003TT8,Software & IT Services
ACCP.PA,2023-12-31,ACCOR SA ORD,FR0000120404,Hotels & Entertainment Services
MWDP.PA,2023-12-31,WENDEL ORD,FR0000121204,Investment Holding Companies
ORAN.PA,2023-12-31,ORANGE ORD,FR0000133308,Telecommunications Services
IDLA.PA,2023-12-31,ID LOGISTICS GR ORD,FR0010929125,Freight & Logistics Services
EUFI.PA,2023-12-31,EUROFINS SCIENTIFIC ORD,FR0014000MR3,Biotechnology & Medical Research
EXHO.PA,2023-12-31,SODEXO ORD,FR0000121220,Hotels & Entertainment Services
ENX.PA,2023-12-31,EURONEXT,NL0006294274,Investment Banking & Investment Services
BVI.PA,2023-12-31,BUREAU VERITAS REGISTRE INTL ORD,FR0006174348,Professional & Commercial Services
AIRF.PA,2023-12-31,AIR FRANCE-KLM ORD,FR001400J770,Passenger Transportation Services
AIRP.PA,2023-12-31,AIR LIQUIDE ORD,FR0000120073,Chemicals
SASY.PA,2023-12-31,SANOFI SA ORD,FR0000120578,Pharmaceuticals
TFFP.PA,2023-12-31,TF1 ORD,FR0000054900,Media & Publishing
CARM.PA,2023-12-31,CARMILA ORD,FR0010828137,Residential & Commercial REITs
ESLX.PA,2023-12-31,ESSILORLUXOTTICA ORD,FR0000121667,Healthcare Equipment & Supplies
AM.PA,2023-12-31,DASSAULT AVIATI ORD,FR0014004L86,Aerospace & Defense
AMUN.PA,2023-12-31,AMUNDI ORD,FR0004125920,Investment Banking & Investment Services
AIR.PA,2023-12-31,AIRBUS SE,NL0000235190,Aerospace & Defense
AXAF.PA,2023-12-31,AXA ORD,FR0000120628,Insurance
GFCP.PA,2023-12-31,GECINA REIT,FR0010040865,Residential & Commercial REITs
MT.AS,2023-12-31,ARCELORMITTAL ORD,LU1598757687,Metals & Mining
ENGIE.PA,2023-12-31,ENGIE ORD,FR0010208488,Multiline Utilities
